horizon_min,model,lam_policy,theta,slippage,scope,n_decisions,n_matched,n_gated,n_fillable,pass_rate,unfillable_rate,gross_mean,entry_cost_markout_mean,entry_cost_markout_median,roundtrip_touch_net_mean,hit_rate,sum_entry_markout
5,tcn,raw,2.0,0.01,in_scope,741221,688678,70042,69250,0.09449543388544038,0.011307501213557579,0.001572124194353819,-0.015398776158690453,-0.014417074620723724,-0.02305285818874836,0.2031046931407942,-1066.365234375
5,tcn,raw,1.0,0.0,out_of_scope,1291344,1291302,579636,579437,0.4488625803813701,0.0003433189104886515,0.001111482735723257,-0.011409757658839226,-0.008204074576497078,-0.02622338756918907,0.3553449296472265,-6611.23583984375
5,tcn,raw,1.0,0.005,out_of_scope,1291344,1291302,396555,396396,0.30708703490317063,0.0004009532095169649,0.001332639716565609,-0.017003366723656654,-0.01328243874013424,-0.03267988935112953,0.2892057437511983,-6740.06640625
5,tcn,raw,1.0,0.01,out_of_scope,1291344,1291302,279859,279728,0.21671917010494493,0.0004680928610478848,0.0015307095600292087,-0.0226344782859087,-0.018352385610342026,-0.039216745644807816,0.24209231825201624,-6331.49755859375
5,tcn,raw,1.5,0.0,out_of_scope,1291344,1291302,390417,390272,0.30233384752629816,0.000371397761880246,0.0013705601450055838,-0.010660804808139801,-0.007400812581181526,-0.02512763813138008,0.3612480526402099,-4160.61376953125
5,tcn,raw,1.5,0.005,out_of_scope,1291344,1291302,270215,270101,0.20925098192271,0.0004218862757433895,0.0016229888424277306,-0.016286607831716537,-0.012494910508394241,-0.03167331591248512,0.2912058822440495,-4399.029296875
5,tcn,raw,1.5,0.01,out_of_scope,1291344,1291302,196863,196773,0.15244814704679777,0.00045717072278691275,0.00185008707921952,-0.021866150200366974,-0.01752578094601631,-0.03816048428416252,0.2430973761644128,-4302.66796875
5,tcn,raw,2.0,0.0,out_of_scope,1291344,1291302,272234,272130,0.21081446926612893,0.00038202428792876716,0.0016934052109718323,-0.009977340698242188,-0.006773057393729687,-0.024189280346035957,0.3661301583801859,-2715.1337890625
5,tcn,raw,2.0,0.005,out_of_scope,1291344,1291302,193660,193583,0.1499677855009974,0.00039760404833212847,0.0018202433129772544,-0.01573096215724945,-0.011906418949365616,-0.030890945345163345,0.29272198488503637,-3045.246826171875
5,tcn,raw,2.0,0.01,out_of_scope,1291344,1291302,145612,145559,0.11276003915300647,0.00036398099057769964,0.0020145303569734097,-0.02128409594297409,-0.01693139411509037,-0.037281353026628494,0.2433446231425058,-3098.091796875
5,tcn,wf,1.0,0.0,in_scope,741221,688678,330817,327757,0.4463135825887286,0.009249826943597215,0.0007225211011245847,-0.005520335398614407,-0.004796426743268967,-0.012269771657884121,0.3106630827106667,-1809.32861328125
5,tcn,wf,1.0,0.005,in_scope,741221,688678,178060,176267,0.24022524995918895,0.010069639447377288,0.0009538906160742044,-0.0107365557923913,-0.009724135510623455,-0.017982183024287224,0.23200031769985308,-1892.50048828125
5,tcn,wf,1.0,0.01,in_scope,741221,688678,106497,105369,0.1436777965006388,0.010591847657680498,0.001202983083203435,-0.015942998230457306,-0.014644401147961617,-0.02364654466509819,0.19396596721996032,-1679.8978271484375
5,tcn,wf,1.5,0.0,in_scope,741221,688678,230005,227688,0.3103055633879774,0.010073694050129344,0.0008518428076058626,-0.005359990522265434,-0.004679587669670582,-0.01216731034219265,0.3190638066125575,-1220.405517578125
5,tcn,wf,1.5,0.005,in_scope,741221,688678,129727,128319,0.17501797709455075,0.010853561710360988,0.0011380274081602693,-0.01048725750297308,-0.009607651270925999,-0.017731040716171265,0.23904488033728444,-1345.71435546875
5,tcn,wf,1.5,0.01,in_scope,741221,688678,81119,80227,0.10943969477389334,0.010996190781444544,0.0014449943555518985,-0.01560811698436737,-0.014507139101624489,-0.023298732936382294,0.2000324080421803,-1252.1923828125
5,tcn,wf,2.0,0.0,in_scope,741221,688678,164556,162764,0.22200666198070482,0.01088990981793432,0.001049178303219378,-0.005146478768438101,-0.004583138041198254,-0.011996089480817318,0.32583372244476666,-837.6614990234375
5,tcn,wf,2.0,0.005,in_scope,741221,688678,97663,96542,0.1317596236480078,0.011478246623593378,0.0013176064239814878,-0.010268076322972775,-0.009505966678261757,-0.01752678118646145,0.24487787698618219,-991.3006591796875
